drawing_id,artwork_id,pair
"2013_14-17_3439_LTU_R_C","katsushika-hokusai_the-great-wave-off-kanagawa",False
"2018_14-17_1823_CZE_R_C","unknown",False
"2014_14-17_1850_UKR_R_C","stephen hawking",False
"1996_14-17_0037_ROU_R_C","unknown",False
"1994_14-17_0142_FRA_R_C","big-ben-henry-be",False
"2012_14-17_0248_UKR_R_C","tsarevna",False
"2012_14-17_0461_UKR_R_C","Silver Hoof",False
"2012_14-17_0475_UKR_R_C","charlie perm puss in the boots",False
"2012_14-17_0558_UKR_R_C","kotigoroshek ukrainian folk story",False
"2012_14-17_0565_UKR_R_C","The Magic Swan Geese",False
"2012_14-17_0784_MYS_R_C","Nian Monster",False
"2012_14-17_1151_MYS_R_C","Sky Lantern",False
"2016_18-25_0936_IDN_R_C","merak ngibing",False
"2002_18-25_0007_CRI_R_C","Pegasus/Unicorn",False
"2003_14-17_1422_THA_R_C","adam/eve",False
"1995_14-17_0006_FRA_R_C","animal farm",False
"2011_14-17_1863_RUS_R_C","unknown",False
"1995_14-17_0003_FRA_R_C","unknown",False
"1997_14-17_0014_LBA_R_C","claude-monet_regatta-at-argenteuil",True
"2000_14-17_0026_VIE_R_C","Sandro_Botticelli_163",True
"2000_14-17_0443_UKR_R_C","cossack_mamai",True
"2000_14-17_0896_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0897_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0898_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0899_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0900_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0901_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0902_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0903_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0904_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0905_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_0906_TCH_R_C_crop","tg_masaryk",True
"2000_14-17_1345_KIR_R_C","Vincent_van_Gogh_213",True
"2000_14-17_1583_COL_R_C","child_jesus_good_shepard",True
"1996_10-13_1546_GHA_R_C","ghana-coat-of-arms",True
"1996_10-13_1547_GHA_R_C","ghana-coat-of-arms",True
"1996_10-13_1549_GHA_R_C_crop","james_kwegyir",True
"2003_14-17_1294_KAZ_a_R_C","taj_mahal",True
"2003_14-17_1298_INE_R_C","taj_mahal",True
"2003_14-17_1370_THA_R_C","buddha-eyes-closed",True
"2003_18-25_0204_SUR_R_C","durga-on-tiger",True
"2004_14-17_0343_BLG_R_C","mother-and-golden-haired-child-shijun-munns",True
"2009_14-17_0939_BGR_R_C","archangel_michael",True
"2009_14-17_0941_BGR_R_C","st_stephen_icon",True
"2009_14-17_1234_DEU_R_C","padme-amidala",True
"2009_14-17_2021_POL_R_C","Edvard_Munch_12",True
"2015_14-17_4476_ROM_R_C","inside_identity",True
"2015_14-17_4881_ROM_R_C","marco_ortolan_benetian_mask",True
"2013_14-17_1011_POL_R_C","saint_basil_cathedral",True
"2013_14-17_1201_FRA_R_C","taj_mahal",True
"2013_18-25_1990_LBN_R_C","byblos_georges_sehral",True
"2014_14-17_0680_RUS_R_C","hucan",True
"2010_MS_0981_FRA_R_C","Leonardo_da_Vinci_121",True
"1995_14-17_0259_YOU_R_C","Vincent_van_Gogh_76",True
"1998_14-17_0101_RUS_R_C","eglise_de_la_transfiguration",True
"1998_14-17_0293_LBA_R_C","ferruzzi_reproduktion",True
"1998_18-25_5_0010","isfahan",True
"1998_18-25_0212_IRA_R_C","haruniyeh_monument",True
"1998_14-17_0627_CHN_R_C_crop","statute_head",True
